都道府県,該当数,1時間未満,1時間以上2時間未満,2時間以上3時間未満,3時間以上4時間未満,4時間以上5時間未満,5時間以上6時間未満,6時間以上7時間未満,7時間以上8時間未満,8時間以上9時間未満,9時間以上10時間未満,10時間以上11時間未満,11時間以上12時間未満,12時間以上,分からない,無回答
北海道,99,11.1,12.1,26.3,13.1,14.1,18.2,6.1,1,0,0,3,1,2,4,1
青森県,22,4.5,13.6,9.1,9.1,13.6,13.6,13.6,0,0,0,0,0,0,36.4,0
岩手県,32,9.4,15.6,25,0,6.3,25,0,0,6.3,3.1,0,0,0,18.8,0
宮城県,51,9.8,15.7,25.5,13.7,15.7,17.6,7.8,2,0,0,0,0,0,2,0
秋田県,26,7.7,3.8,19.2,23.1,15.4,7.7,0,0,7.7,0,0,0,0,19.2,3.8
山形県,14,35.7,0,28.6,21.4,0,14.3,14.3,0,0,0,0,0,0,0,0
福島県,32,3.1,18.8,37.5,6.3,9.4,15.6,3.1,0,0,0,3.1,0,0,9.4,0
茨城県,75,10.7,10.7,20,16,8,22.7,4,1.3,0,1.3,1.3,0,1.3,12,0
栃木県,50,14,18,20,16,12,14,4,2,0,0,0,0,0,6,0
群馬県,45,17.8,15.6,37.8,2.2,6.7,15.6,4.4,0,0,2.2,0,0,2.2,4.4,0
埼玉県,114,8.8,19.3,21.1,13.2,10.5,21.1,5.3,5.3,0.9,0.9,0.9,0,0,6.1,0
千葉県,116,4.3,12.1,21.6,24.1,10.3,19.8,3.4,1.7,1.7,0,0,0,0.9,7.8,0
東京都,181,10.5,19.3,23.8,14.9,9.9,19.3,6.1,1.7,0.6,0.6,1.7,0,0.6,2.2,0
神奈川県,126,7.1,9.5,21.4,18.3,9.5,28.6,4,2.4,3.2,3.2,0.8,0,1.6,4,1.6
新潟県,29,0,17.2,13.8,10.3,20.7,20.7,6.9,0,0,0,0,0,3.4,10.3,6.9
富山県,37,10.8,21.6,18.9,18.9,10.8,13.5,2.7,0,0,0,0,0,0,5.4,0
石川県,19,0,5.3,36.8,21.1,10.5,26.3,10.5,5.3,0,0,0,0,0,0,0
福井県,22,0,22.7,22.7,27.3,9.1,18.2,4.5,0,0,0,0,0,9.1,0,0
山梨県,10,10,20,10,40,10,10,-,0,0,0,0,0,10,0,0
長野県,20,15,20,15,15,5,25,15,0,0,0,5,0,0,5,0
岐阜県,40,10,12.5,20,12.5,15,22.5,2.5,5,5,0,2.5,0,0,7.5,0
静岡県,68,4.4,13.2,14.7,27.9,14.7,19.1,2.9,0,1.5,0,0,0,0,5.9,0
愛知県,202,9.4,17.3,15.8,22.8,10.4,17.8,2.5,4,0.5,0.5,1,0,2,6.4,0
三重県,40,10,15,22.5,20,7.5,17.5,2.5,0,0,0,0,0,5,7.5,0
滋賀県,23,21.7,30.4,0,8.7,4.3,26.1,4.3,4.3,0,0,4.3,0,0,8.7,0
京都府,18,16.7,11.1,11.1,22.2,5.6,33.3,5.6,0,0,0,11.1,0,5.6,0,0
大阪府,158,13.9,7.6,20.9,21.5,10.8,19.6,3.8,1.3,2.5,0,1.3,0,0,5.1,0.6
兵庫県,84,9.5,17.9,25,14.3,9.5,21.4,3.6,1.2,2.4,1.2,3.6,0,1.2,2.4,0
奈良県,19,10.5,36.8,15.8,15.8,5.3,5.3,0,0,0,0,0,0,0,10.5,0
和歌山県,20,5,10,40,25,5,10,0,0,0,5,0,0,0,5,0
鳥取県,14,14.3,7.1,14.3,14.3,28.6,14.3,0,0,0,7.1,0,0,0,7.1,0
島根県,21,9.5,9.5,14.3,33.3,0,4.8,4.8,0,0,0,0,0,0,23.8,4.8
岡山県,20,30,10,25,5,10,20,10,0,5,0,5,0,0,0,0
広島県,77,11.7,20.8,23.4,15.6,9.1,15.6,1.3,3.9,1.3,1.3,0,0,0,3.9,0
山口県,28,10.7,7.1,17.9,32.1,21.4,7.1,0,0,0,0,3.6,0,0,3.6,0
徳島県,10,10,0,30,40,10,0,0,0,0,0,0,0,0,10,0
香川県,22,13.6,0,36.4,27.3,0,4.5,0,0,0,0,0,0,0,18.2,0
愛媛県,19,15.8,36.8,15.8,5.3,5.3,15.8,0,0,0,0,0,5.3,0,5.3,0
高知県,23,8.7,17.4,21.7,13,4.3,17.4,4.3,4.3,0,0,0,0,0,8.7,8.7
福岡県,120,6.7,12.5,19.2,20.8,15,20,3.3,3.3,1.7,0,0,0,0,5.8,0
佐賀県,20,10,15,15,35,5,5,0,0,0,0,0,0,5,15,0
長崎県,24,8.3,25,33.3,4.2,4.2,20.8,0,4.2,4.2,0,0,0,0,4.2,0
熊本県,27,3.7,22.2,40.7,11.1,7.4,7.4,0,3.7,0,0,0,0,0,7.4,0
大分県,34,11.8,5.9,14.7,26.5,14.7,20.6,8.8,2.9,0,0,0,0,0,5.9,0
宮崎県,29,6.9,3.4,20.7,27.6,0,20.7,6.9,3.4,3.4,0,3.4,0,0,20.7,0
鹿児島県,27,22.2,29.6,18.5,14.8,3.7,7.4,3.7,0,0,0,0,0,0,3.7,0
沖縄県,52,7.7,7.7,26.9,17.3,11.5,23.1,5.8,0,1.9,0,3.8,0,0,5.8,0
